,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_end,pos
304,553926.5992,5645454.154,16.91229252260098,31.92195379937638,54.69089039961447,79.06641524802016,101.55557505569978,120.56375843409457,135.57411462114132,146.63364886764515,154.04969297042396,158.2369573448988,159.62948437029652,158.63871669939982,155.63828835015516,150.94625446475467,144.84572081559236,137.57090865940793,129.33679904820403,120.31619933835569,110.65330425331825,100.47446327645457,77.43788724
305,553926.7441,5645453.964,15.468434984534147,30.70961057812008,53.817644080061015,78.56109222690657,101.39777124310494,120.70259363943167,135.95389273749416,147.19242297840918,154.73210287219592,158.9928217000331,160.4187776742699,159.4289973725886,156.39947636579916,151.65353380098796,145.48091945566318,138.12360737747343,129.78791097369495,120.65063542163638,110.86344444537147,100.54832254959398,77.67683495
306,553926.8682,5645453.801,13.880605732398005,29.38719732374872,52.85977968107538,77.96958130032054,101.14088292363776,120.72670436508868,136.21507984807442,147.65372347844826,155.36533057379077,159.77637066421337,161.33224039028266,160.4581018702585,157.53241827362461,152.89299786335428,146.81558797002177,139.55638026917558,131.3126505039928,122.2598394519521,112.55263233469508,102.31313732972603,77.8817003
307,553927.0062,5645453.621,13.104517458418997,28.925032816712562,52.72896707786749,78.10308009548297,101.4560221853393,121.16798347184077,136.73965270048998,148.2420725128764,156.01664161602466,160.49564131371173,162.13121142589145,161.34215123859963,158.51614500106862,153.9903778632274,148.04387817560377,140.91648448592306,132.8197614170469,123.93507552751701,114.40404850390355,104.35112633659048,78.10851299
308,553927.0928,5645453.508,13.598427928034315,29.370340878734183,53.06028408164299,78.27788941063687,101.46311749687072,121.02571379918999,136.48427468120423,147.91968404553663,155.6728436927544,160.17508915857945,161.87669313914557,161.19334693852218,158.50664328284165,154.14353124139078,148.38724185625074,141.4735664484275,133.6115616614451,124.97698824255598,115.71010728845415,105.93011138915804,78.25088069
309,553927.1895,5645453.382,15.264981017861148,30.457311951096607,53.54048856007474,78.2943143312142,101.17894341641697,120.57534026464198,135.96256490452734,147.38713745968823,155.1682177130301,159.72053362674646,161.48196542433206,160.85947710913445,158.22646215428864,153.91234551901138,148.19490186884764,141.31280778318063,133.47108418193986,124.84786862254721,115.57944397220066,105.79061337682485,78.40971044
310,553927.2362,5645453.322,15.415688028559641,30.387172672425585,53.262845622351136,77.89876975103408,100.75870581193237,120.20142005180917,135.67888589271718,147.21642503908245,155.11144371664994,159.7703883504954,161.6205477073235,161.06727024633915,158.48167658542513,154.19084779603767,148.47499009369946,141.57305251765024,133.69283861230352,125.0095964604753,115.6663251977127,105.78665980739578,78.4857426
311,553927.2658,5645453.283,16.209803870868065,30.809180295903825,53.24717773617841,77.52042672881677,100.13227730499133,119.43282050479165,134.85288187658614,146.3928237999788,154.33407717558336,159.06310199508684,160.99893658426646,160.53647393054024,158.04557614984702,153.85134773451202,148.22601781824412,141.403705151144,133.59436670885694,124.97823322062808,115.69593037970611,105.87193265242678,78.5347034
312,553927.2881,5645453.254,16.464066728889314,30.91430160889663,53.17313488801921,77.29822111974298,99.81139620898017,119.0608887475099,134.46710056722702,146.02180981127322,153.99314239082793,158.763726402323,160.743242473979,160.32631239640506,157.87840700285332,153.71958257709514,148.1279873544176,141.33787407171508,133.5566214627578,124.95530949804959,115.68232594963258,105.86142429372372,78.57128605
313,553927.4468,5645453.049,16.92329007381099,30.929072803499597,52.66848044858873,76.37310650021611,98.61442509252046,117.73263678271711,133.1182513190348,144.73478211938325,152.8276394946411,157.76309611805345,159.9375932404956,159.738175662976,157.51898884755903,153.59406552200517,148.24213787395036,141.69578124561414,134.15567405677268,125.79360356802654,116.76387492696071,107.18237439342526,78.8305363
314,553927.5262,5645452.946,17.921428974671144,31.738065522406107,53.08190249647721,76.27163640241865,97.96724941148084,116.57880213347413,131.54623276125716,142.85922326246992,150.7716993670209,155.64893580336272,157.88195063634592,157.84862236342886,155.8945104585548,152.32123293855946,147.39272861991296,141.33170171528937,134.33260544182468,126.55678206858671,118.14474591232515,109.21050540391407,78.96058767
315,553927.6526,5645452.783,18.16496750541989,32.090544362301216,53.5741262205406,76.89383496987364,98.6972190453647,117.39446052340112,132.43037038347643,143.7946980947031,151.74372885391443,156.6451916506421,158.89775021781853,158.88057965384866,156.93761896580403,153.36669753638216,148.43393327314772,142.367817649021,135.36309051670563,127.5801777354932,119.15868198863656,110.2183858510802,79.16685439
316,553927.7602,5645452.644,17.741093082760614,32.194147995326574,54.26944849642513,78.0427319432013,100.114266831555,118.91706790831881,133.9383573696356,145.2080452093329,153.01385497150878,157.74331180539028,159.80846451289705,159.59853027555675,157.46880938747307,153.72142174467655,148.62604478645332,142.4099183978652,135.2688330793779,127.37105231688402,118.85119838724604,109.8236080213877,79.34263482
317,553927.8276,5645452.558,16.561656136141753,31.56539752722035,54.29115269563321,78.60728792341627,101.05452308508826,120.07174450242168,135.17583724378287,146.43276530518017,154.16513292362907,158.78361434162366,160.71780075145296,160.36575227922214,158.09061837533534,154.20470894337618,148.9816992573999,142.6514723628701,135.40646365202215,127.41424782834325,118.80967763486888,109.70851400952228,79.45189945
318,553927.9105,5645452.452,15.927696190858263,31.417245695424494,54.773364768944305,79.65906249145206,102.5426148644659,121.85069684989352,137.11479753826742,148.4222294326008,156.11102117490236,160.61664363199128,162.377997826728,161.81055032451835,159.28439163374063,155.12085541103158,149.59870177167542,142.9514287170197,135.37848016199013,127.04420650205397,118.0938008979222,108.64060584856549,79.58646695
319,553927.9952,5645452.344,15.816036702237792,31.339073238091565,54.7375938952486,79.65957339116517,102.56708601198353,121.89100516557323,137.1638850746344,148.47712480637978,156.17405824723178,160.6837826706098,162.44841508562226,161.8817570561727,159.35363074408917,155.18639394928573,149.6590568692764,143.00988270666537,135.43302340761625,127.09456513379817,118.13127624799243,108.66709373035633,79.72371887
320,553928.0684,5645452.25,15.560614017299814,31.178771450421827,54.77882004010891,79.97234772658699,103.17529802960136,122.78146508802075,138.29398903677034,149.7811952463798,157.58014181257687,162.12140686593074,163.84675873012415,163.18454989695545,160.4997871081088,156.12362722436023,150.3363048183527,143.38995302534386,135.48582313641387,126.79807874422251,117.4758848963277,107.62654854762631,79.84285845
