x,y,z,t,pos,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
553885.3198,5645513.602,26.7468397,43023.52,5.057122986,29.73398235,15.89457786,53.62120368,32.81049649,55.39348424,49.40179961,0.882913425,0.796558379,0.872464714,0.03770407,1.252942597,-2.673941949
553885.4354,5645513.43,26.7499208,43023.42,5.264360434,29.73398235,16.09457786,53.42120368,32.91049649,54.99348424,49.00179961,0.882913425,0.796558379,0.872464714,0.02770407,1.242942597,-2.713941949
553885.5515,5645513.258,26.75,43023.32,5.471877204,29.73398235,16.19457786,53.22120368,32.91049649,54.69348424,48.80179961,0.882913425,0.796558379,0.872464714,0.02770407,1.242942597,-2.743941949
553885.6931,5645513.049,26.75,43023.22,5.724328309,29.63398235,16.09457786,53.12120368,32.81049649,54.59348424,48.80179961,0.882913425,0.796558379,0.872464714,0.02770407,1.262942597,-2.753941949
553885.8101,5645512.877,26.75,43023.12,5.932349942,29.53398235,15.99457786,53.12120368,32.61049649,54.69348424,48.60179961,0.882913425,0.796558379,0.872464714,0.03770407,1.272942597,-2.763941949
553885.9392,5645512.687,26.75,43023.03,6.162060216,29.43398235,16.09457786,53.12120368,32.31049649,54.99348424,48.30179961,0.882913425,0.796558379,0.872464714,0.03770407,1.252942597,-2.763941949
553886.0786,5645512.484,26.75,43022.92,6.408314881,29.23398235,15.99457786,53.12120368,31.91049649,55.49348424,48.00179961,0.882913425,0.786558379,0.882464714,0.02770407,1.202942597,-2.783941949
553886.197,5645512.311,26.75,43022.82,6.617951615,29.13398235,15.69457786,53.12120368,31.51049649,56.09348424,47.60179961,0.892913425,0.786558379,0.882464714,0.01770407,1.182942597,-2.823941949
553886.3384,5645512.106,26.75,43022.71,6.866987676,29.03398235,15.29457786,53.32120368,31.21049649,56.79348424,47.30179961,0.892913425,0.786558379,0.882464714,0.00770407,1.202942597,-2.853941949
553886.4777,5645511.905,26.75,43022.61,7.111539286,28.83398235,14.99457786,53.62120368,31.01049649,57.39348424,47.40179961,0.892913425,0.796558379,0.882464714,0.00770407,1.232942597,-2.883941949
