,x,y,EC_0.60,EC_1.00,EC_end
14801,107773.008,183278.25,60.0610076039855,77.09266472997213,91.54060442496954
14802,107772.904,183278.417,59.89059656739824,76.68146402850557,90.96439351658226
14803,107772.746,183278.673,59.698501353832256,76.60823120238071,90.99125105604102
14804,107772.578,183278.945,59.493845871773786,77.38937709887477,92.70749202823124
14805,107772.389,183279.251,58.44743058869266,78.50616231425737,95.77584448911763
14806,107772.22,183279.522,57.087419538512684,79.30369645620551,98.61292494430238
14807,107772.06,183279.782,55.77578808206305,79.35891213530562,100.04663672393856
14808,107771.855,183280.112,54.62603174885723,78.46634980698276,99.51625443948181
14809,107771.72,183280.327,54.59981822715023,77.34508289253792,97.47246265426146
14810,107771.425,183280.798,55.591007608234534,76.40559907530043,94.70652755005518
14811,107771.288,183281.014,56.793733808095446,75.62525199508669,92.0170433317781
14812,107771.079,183281.343,58.7515660983551,75.85922615053431,90.44756889630169
14813,107770.953,183281.54,59.61021944890308,75.71276572033138,89.30378545505668
14814,107770.773,183281.819,60.97352262172599,76.43813172595281,89.24488112727018
14815,107770.618,183282.059,61.42317151216326,76.65675946924873,89.22109806077542
14816,107770.47,183282.286,61.54020555243236,76.7271903264899,89.18091601228873
14817,107770.284,183282.571,61.01538178063433,76.2990740599653,88.84720910519313
14818,107770.099,183282.853,60.463814239714395,75.73190102049001,88.27963825973504
14819,107769.981,183283.032,60.097392376158695,75.51068799708585,88.24573276941067
14820,107769.86,183283.216,59.543754439323735,75.14373727372931,88.0496063666568
14821,107769.676,183283.495,58.79346750625749,74.95478177086024,88.4305293251138
14822,107769.506,183283.753,57.676136948660286,74.81900778045154,89.21536552974746
14823,107769.36,183283.973,57.13005793044945,74.90131742101616,89.91515065383707
14824,107769.189,183284.232,56.41899547735472,74.69369528238428,90.21368394898627
14825,107769.03,183284.47,55.96982634481261,74.30745834961184,89.94138889083804
14826,107768.836,183284.762,55.859188105741815,73.77580494133126,89.1633207602398
14827,107768.69,183284.983,56.09663599820506,73.72401165790465,88.82705788987234
14828,107768.539,183285.209,56.702250939560265,74.06790169932343,88.91042365552529
14829,107768.344,183285.502,57.47361599483411,74.67067669206384,89.31489835807777
14830,107768.142,183285.806,58.44869176655408,75.42213071259538,89.7978248786798
14831,107767.997,183286.023,58.852153486029515,75.76545666161633,90.03747857032336
14832,107767.842,183286.256,59.85594845873649,76.11515446119506,89.79330825783941
14833,107767.672,183286.513,60.52551145595962,76.10818847252,89.15194988600186
14834,107767.488,183286.789,61.417283647797035,75.94317366030545,87.95454739844241
14835,107767.347,183287.002,61.99436283608031,76.2170939414996,87.91538462262432
14836,107767.246,183287.155,62.46840622911403,76.56321597227264,88.08740071220646
14837,107767.097,183287.38,62.515020823554224,76.7798584850309,88.42408944728221
14838,107766.899,183287.678,61.714970643024635,76.81261428169213,89.23193410032415
14839,107766.776,183287.864,61.26413699003897,76.5346942132402,89.14254076774877
14840,107766.63,183288.084,60.57452360956047,76.39057206279998,89.55636143427934
14841,107766.47,183288.326,59.96115319297699,76.25570482299904,89.89104954154584
14842,107766.317,183288.555,59.53980486960835,76.14954535833712,90.04707224911957
14843,107766.147,183288.811,58.82126387753337,75.68941239833568,89.86467574037559
14844,107765.978,183289.067,58.52990856558617,75.40638575932364,89.61946909245206
14845,107765.826,183289.296,58.669574657679014,75.30933306850437,89.31827299795707
14846,107765.701,183289.484,59.021997106377114,75.53499020547315,89.40696991222947
14847,107765.545,183289.717,59.644131752727304,75.76269454272357,89.22884575497415
14848,107765.365,183289.988,60.197505557176974,75.67682592465377,88.47241277795462
14849,107765.229,183290.191,60.519064790291864,75.76708233368105,88.38321288054
14850,107765.071,183290.426,60.91248277571308,75.86107509400154,88.1192835392542
14851,107764.907,183290.668,61.19976711163257,75.81225366820996,87.78132705780247
14852,107764.76,183290.886,61.029796379611604,75.99178275579179,88.27024907213217
14853,107764.665,183291.026,60.84276836485251,76.59430759200664,89.63080802969415
14854,107764.519,183291.239,60.2168822878683,77.36829406250304,91.73121092621741
14855,107764.37,183291.457,59.42697851343224,78.0179475467008,93.74672001943729
14856,107764.216,183291.681,58.44729132921531,78.29847970165088,95.25256958333284
14857,107764.057,183291.911,57.54257150644357,78.047192420621,95.55537004036931
14858,107763.892,183292.152,56.35655014530932,77.82003434790046,96.27746525704248
14859,107763.75,183292.357,55.55595626751438,77.16815115587221,95.85172050863244
14860,107763.514,183292.7,55.60121730710043,75.4568339927137,92.64760874869674
14861,107763.372,183292.906,56.27701385114358,74.65203235907757,90.45867836658043
14862,107763.223,183293.123,57.56292923569117,74.3827603829227,88.67242676421425
14863,107763.091,183293.315,58.37195787766454,74.80972275019063,88.73602283805171
14864,107762.879,183293.625,60.61366754305281,75.40578186515448,87.55579023848306
14865,107762.751,183293.813,61.726968603015315,75.88513513029498,87.35201901048849
14866,107762.613,183294.016,62.29137673416011,76.01081664570553,86.99445881677822
14867,107762.462,183294.239,62.69086334223682,76.1851067239542,86.97925121428393
14868,107762.308,183294.467,62.85350410648345,75.6014750377927,85.64425979689399
14869,107762.125,183294.737,62.55516406252804,74.9914294803055,84.76184124572664
14870,107762.055,183294.841,62.49930780331783,74.50612331608089,83.85710406933424
14871,107761.94,183295.011,62.041593311413855,74.09160360727864,83.53726275424668
14872,107761.773,183295.259,61.144504987051576,72.93594122810265,82.09624297960242
14873,107761.637,183295.461,60.16119141603622,72.19635666139254,81.68408141494749
14874,107761.465,183295.716,58.64003007068832,71.02043241923674,80.90638328393672
14875,107761.293,183295.973,56.5961333434186,69.44099331628442,79.75350573873038
14876,107761.165,183296.164,54.88325344046583,68.21403006750033,79.12497385277385
14877,107761.011,183296.394,52.7464914491223,66.46793358261965,77.80315911402663
14878,107760.828,183296.667,50.305373992627466,64.44598462670443,76.20833086125874
14879,107760.674,183296.897,48.24148875251311,62.484649001978056,74.43298466479742
14880,107760.465,183297.209,46.13261681827242,60.30530653875855,72.20964062092024
14881,107760.332,183297.409,44.73447546977402,58.88848129328732,70.92678271416767
14882,107760.195,183297.614,42.7998085970139,57.27863794506504,69.75078456782914
14883,107760.021,183297.873,40.761650450645206,55.63619075057052,68.59501288210761
14884,107759.862,183298.111,38.395328790931856,53.80980992042881,67.36668831301827
14885,107759.7,183298.354,36.6723420644269,52.18774457623746,65.95240565115854
